16 16
4
8
10
12 1
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
0; 8; 8; 8; 8; 8; 4; 4; 4; 0; 0; 0; 5; 6; 6; 0
0; 8; 1; 8; 8; 4; 4; 4; 4; 4; 0; 5; 5; 5; 6; 0
0; 1; 1; 1M; 8; 4; 4; 4M; 4; 4; 5; 5; 5; 5; 5; 0
0; 1; 1; 1; 1; 4; 4; 4; 4; 0; 5P; 5; 5; 5; 5; 0
0; 1; 1; 1; 1; 1; 4; 4; 4; 0; 0; 5; 5; 5; 9M; 0
0; 1P; 1; 1; 1; 3; 3P; 4M; 0; 0; 9; 5P; 5; 9; 9; 0
0; 1; 1; 1; 3; 3; 3; 3; 0; 9; 9; 9; 5; 9; 9; 0
0; 2; 1; 3; 3; 3; 3; 3; 0; 9M; 9; 9; 9; 9; 9; 0
0; 2; 2; 3; 3; 3; 3P; 3; 0; 0; 9; 9; 7; 9; 9; 0
0; 2; 2M; 2; 3; 3; 3; 0; 0; 0; 9; 7; 7; 7; 9; 0
0; 2M; 2; 2; 2P; 3; 0; 0; 0; 0; 7; 7; 7M; 7; 7M; 0
0; 2T; 2; 2; 2; 0; 0; 0; 0; 0; 7; 7P; 7; 7; 7M; 0
0; 2; 2; 2; 0; 0; 0; 0; 0; 0; 7; 7; 7; 7P; 0; 0
0; 2; 2M; 2M; 0; 0; 0; 0; 0; 0; 0; 7; 7; 7; 0; 0
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
